Kanji,Furigana,Meaning,Level
家主,いえぬし,landlord,N1
如何,いかが,"how, in what way",N1
生かす,いかす,"to revive, to resuscitate, to make use of",N1
雷,いかずち,thunder,N1
如何に,いかに,"how?, in what way?, how much?, however, whatever",N1
如何にも,いかにも,"indeed, really, phrase meaning agreement",N1
怒り,いかり,"anger, hatred",N1
怒る,いかる,"to get angry, to be angry",N1
歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv",N1
粋,いき,"chic, style, purity, essence",N1
域外,いきがい,outside the area,N1
意気込む,いきごむ,to be enthusiastic about,N1
経緯,いきさつ,"1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c",N1
行き違い,いきちがい,"misunderstanding, estrangement, disagreement, crossing without meeting, going astray",N1
行き成り,いきなり,suddenly,N1
異議,いぎ,"objection, dissent, protest",N1
,いく,"to come, to orgasm",N1
軍,いくさ,"war, battle, campaign, fight",N1
戦,いくさ,"war, battle, campaign, fight",N1
育成,いくせい,"rearing, training, nurture, cultivation, promotion",N1
幾多,いくた,"many, numerous",N1
活ける,いける,to arrange (flowers),N1
異見,いけん,"different opinion, objection",N1
意向,いこう,"intention, idea, inclination",N1
移行,いこう,switching over to,N1
,いざ,"now, come (now), well, crucial moment",N1
碑,いしぶみ,stone monument bearing an inscription,N1
衣装,いしょう,"clothing, costume, outfit, garment, dress",N1
意地,いじ,"disposition, spirit, willpower, obstinacy, backbone, appetite",N1
苛める,いじめる,"to tease, to torment, to persecute, to chastise",N1
移住,いじゅう,"migration, immigration",N1
弄る,いじる,"to touch, to tamper with",N1
何れ,いずれ,"where, which, who, anyway, anyhow, at any rate",N1
異性,いせい,the opposite sex,N1
遺跡,いせき,historic ruins (remains relics),N1
依然,いぜん,"still, as yet",N1
依存,いそん,"dependence, dependent, reliance",N1
委託,いたく,"consign (goods (for sale) to a firm), entrust (person with something), commit",N1
悪戯,いたずら,"tease, prank, trick, practical joke, mischief",N1
頂,いただき,"(top of) head, summit, spire",N1
戴きます,いただきます,expression of gratitude before meals,N1
至って,いたって,"very much, exceedingly, extremely",N1
痛む,いたむ,"to hurt, to feel a pain, to be injured",N1
痛める,いためる,"to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over",N1
炒める,いためる,to stir-fry,N1
労る,いたわる,"to pity, to sympathize with, to console, to care for, to be kind to",N1
市,いち,"market, fair",N1
位地,いち,"place, situation, position, location",N1
一々,いちいち,"one by one, separately",N1
一概に,いちがいに,"unconditionally, as a rule",N1
一見,いちげん,"unfamiliar, never before met",N1
一言,いちげん,single word,N1
一日,いちじつ,"1. one day, 2. first of month",N1
一定,いちじょう,"fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed",N1
著しい,いちじるしい,"remarkable, considerable",N1
一同,いちどう,"all present, all concerned, all of us",N1
一人,いちにん,one person,N1
一部,いちぶ,"1. one copy e.g. of a document, 2. a part, partly, some",N1
一部分,いちぶぶん,a part,N1
一別,いちべつ,parting,N1
一面,いちめん,"one side, one phase, front page, the other hand, the whole surface",N1
一目,いちもく,"a glance, a look, a glimpse",N1
一様,いちよう,"uniformity, evenness, similarity, equality, impartiality",N1
一律,いちりつ,"evenness, uniformity, monotony, equality",N1
一連,いちれん,"a series, a chain, a ream (of paper)",N1
一括,いっかつ,"all together, batch, one lump, one bundle, summing up",N1
一気,いっき,drink!(said repeatedly as a party cheer),N1
一挙に,いっきょに,"at a stroke, with a single swoop",N1
一切,いっさい,"all, everything, without exception, the whole, entirely, absolutely",N1
一心,いっしん,"one mind, wholeheartedness, the whole heart",N1
,いっそ,"rather, sooner, might as well",N1
一帯,いったい,"a region, a zone, the whole place",N1
一敗,いっぱい,one defeat,N1
一変,いっぺん,"complete change, about-face",N1
何時,いつ,"when, how soon",N1
何時か,いつか,"sometime, someday, one day, some time or other, the other day, in due course, in time",N1
何時でも,いつでも,"(at) any time, always, at all times, never (neg), whenever",N1
何時の間にか,いつのまにか,"before one knows, unnoticed, unawares",N1
何時までも,いつまでも,"forever, for good, eternally, as long as one likes, indefinitely",N1
何時も,いつも,"always, usually, every time, never (with neg. verb)",N1
意図,いと,"intention, aim, design",N1
営む,いとなむ,"to carry on (e.g. in ceremony), to run a business",N1
暇,いとま,"free time, leisure, leave, spare time, farewell",N1
異動,いどう,a change,N1
挑む,いどむ,"to challenge, to contend for, to make love to",N1
稲光,いなびかり,(flash of) lightning,N1
古,いにしえ,"antiquity, ancient times",N1
祈り,いのり,"prayer, supplication",N1
鼾,いびき,snoring,N1
今更,いまさら,"now, at this late hour",N1
未だ,いまだ,"as yet, hitherto, not yet (neg)",N1
移民,いみん,"emigration, immigration, emigrant, immigrant",N1
厭々,いやいや,"unwillingly, grudgingly, shaking head in refusal (to children)",N1
卑しい,いやしい,"greedy, vulgar, shabby, humble, base, mean, vile",N1
,いやに,"awfully, terribly",N1
厭やらしい,いやらしい,"detestable, disagreeable",N1
愈々,いよいよ,"more and more, all the more, increasingly, at last, beyond doubt",N1
意欲,いよく,"will, desire, ambition",N1
苛々,いらいら,"getting nervous, irritation",N1
入口,いりくち,"entrance, gate, approach, mouth",N1
衣料,いりょう,clothing,N1
威力,いりょく,"power, might, authority, influence",N1
入る,いる,"to get in, to go in, to come in, to flow into, to set, to set in",N1
衣類,いるい,"clothes, clothing, garments",N1
色々,いろいろ,various,N1
異論,いろん,"different opinion, objection",N1
所謂,いわゆる,"the so-called, so to speak",N1
印,いん,"seal, stamp, mark, print",N1
員,いん,member,N1
印鑑,いんかん,"stamp, seal",N1
陰気,いんき,"gloom, melancholy",N1
隠居,いんきょ,"retirement, retired person",N1
上下,うえした,"high and low, up and down, unloading and loading, praising and blaming",N1
浮かぶ,うかぶ,"to float, to rise to surface, to come to mind",N1
受かる,うかる,to pass (examination),N1
含嗽,うがい,"gargle, rinse mouth",N1
受け入れ,うけいれ,"receiving, acceptance",N1
受け入れる,うけいれる,"to accept, to receive",N1
受け継ぐ,うけつぐ,"to inherit, to succeed, to take over",N1
受け付ける,うけつける,"to be accepted, to receive (an application)",N1
受け止める,うけとめる,"to catch, to stop the blow, to react to, to take",N1
受け取り,うけとり,receipt,N1
受身,うけみ,"passive, passive voice",N1
動き,うごき,"movement, activity, trend, development, change",N1
潮,うしお,tide,N1
氏,うじ,family name,N1
渦,うず,swirl,N1
埋まる,うずまる,"to be buried, to be surrounded, to overflow, to be filled",N1
嘘つき,うそつき,"liar (sometimes said with not much seriousness), fibber",N1
